ds,y
2020-02-19 00:00:00,0
2020-02-19 00:30:00,0
2020-02-19 01:00:00,0
2020-02-19 01:30:00,0
2020-02-19 02:00:00,0
2020-02-19 02:30:00,0
2020-02-19 03:00:00,0
2020-02-19 03:30:00,0
2020-02-19 04:00:00,0
2020-02-19 04:30:00,0
2020-02-19 05:00:00,0
2020-02-19 05:30:00,0
2020-02-19 06:00:00,0
2020-02-19 06:30:00,0
2020-02-19 07:00:00,0
2020-02-19 07:30:00,0
2020-02-19 08:00:00,0
2020-02-19 08:30:00,0
2020-02-19 09:00:00,1493
2020-02-19 09:30:00,1547
2020-02-19 10:00:00,1705
2020-02-19 10:30:00,1658
2020-02-19 11:00:00,1604
2020-02-19 11:30:00,1533
2020-02-19 12:00:00,1458
2020-02-19 12:30:00,1339
2020-02-19 13:00:00,1351
2020-02-19 13:30:00,1243
2020-02-19 14:00:00,1259
2020-02-19 14:30:00,1222
2020-02-19 15:00:00,1335
2020-02-19 15:30:00,1340
2020-02-19 16:00:00,1428
2020-02-19 16:30:00,1280
2020-02-19 17:00:00,1208
2020-02-19 17:30:00,1076
2020-02-19 18:00:00,895
2020-02-19 18:30:00,730
2020-02-19 19:00:00,659
2020-02-19 19:30:00,649
2020-02-19 20:00:00,524
2020-02-19 20:30:00,411
2020-02-19 21:00:00,324
2020-02-19 21:30:00,261
2020-02-19 22:00:00,178
2020-02-19 22:30:00,98
2020-02-19 23:00:00,61
2020-02-19 23:30:00,43
2020-02-20 00:00:00,0
2020-02-20 00:30:00,0
2020-02-20 01:00:00,0
2020-02-20 01:30:00,0
2020-02-20 02:00:00,0
2020-02-20 02:30:00,0
2020-02-20 03:00:00,0
2020-02-20 03:30:00,0
2020-02-20 04:00:00,0
2020-02-20 04:30:00,0
2020-02-20 05:00:00,0
2020-02-20 05:30:00,0
2020-02-20 06:00:00,0
2020-02-20 06:30:00,0
2020-02-20 07:00:00,0
2020-02-20 07:30:00,0
2020-02-20 08:00:00,0
2020-02-20 08:30:00,0
2020-02-20 09:00:00,1446
2020-02-20 09:30:00,1380
2020-02-20 10:00:00,1586
2020-02-20 10:30:00,1651
2020-02-20 11:00:00,1585
2020-02-20 11:30:00,1437
2020-02-20 12:00:00,1474
2020-02-20 12:30:00,1408
2020-02-20 13:00:00,1492
2020-02-20 13:30:00,1459
2020-02-20 14:00:00,1292
2020-02-20 14:30:00,1367
2020-02-20 15:00:00,1369
2020-02-20 15:30:00,1368
2020-02-20 16:00:00,1421
2020-02-20 16:30:00,1369
2020-02-20 17:00:00,1111
2020-02-20 17:30:00,956
2020-02-20 18:00:00,773
2020-02-20 18:30:00,731
2020-02-20 19:00:00,622
2020-02-20 19:30:00,599
2020-02-20 20:00:00,471
2020-02-20 20:30:00,399
2020-02-20 21:00:00,293
2020-02-20 21:30:00,257
2020-02-20 22:00:00,135
2020-02-20 22:30:00,95
2020-02-20 23:00:00,57
2020-02-20 23:30:00,46
2020-02-21 00:00:00,0
2020-02-21 00:30:00,0
2020-02-21 01:00:00,0
2020-02-21 01:30:00,0
2020-02-21 02:00:00,0
2020-02-21 02:30:00,0
2020-02-21 03:00:00,0
2020-02-21 03:30:00,0
2020-02-21 04:00:00,0
2020-02-21 04:30:00,0
2020-02-21 05:00:00,0
2020-02-21 05:30:00,0
2020-02-21 06:00:00,0
2020-02-21 06:30:00,0
2020-02-21 07:00:00,0
2020-02-21 07:30:00,0
2020-02-21 08:00:00,0
2020-02-21 08:30:00,0
2020-02-21 09:00:00,1255
2020-02-21 09:30:00,1203
2020-02-21 10:00:00,1382
2020-02-21 10:30:00,1475
2020-02-21 11:00:00,1542
2020-02-21 11:30:00,1454
2020-02-21 12:00:00,1337
2020-02-21 12:30:00,1263
2020-02-21 13:00:00,1288
2020-02-21 13:30:00,1316
2020-02-21 14:00:00,1156
2020-02-21 14:30:00,1161
2020-02-21 15:00:00,1263
2020-02-21 15:30:00,1385
2020-02-21 16:00:00,1295
2020-02-21 16:30:00,1282
2020-02-21 17:00:00,1076
2020-02-21 17:30:00,968
2020-02-21 18:00:00,870
2020-02-21 18:30:00,777
2020-02-21 19:00:00,689
2020-02-21 19:30:00,555
2020-02-21 20:00:00,502
2020-02-21 20:30:00,422
2020-02-21 21:00:00,309
2020-02-21 21:30:00,257
2020-02-21 22:00:00,141
2020-02-21 22:30:00,108
2020-02-21 23:00:00,59
2020-02-21 23:30:00,22
2020-02-22 00:00:00,0
2020-02-22 00:30:00,0
2020-02-22 01:00:00,0
2020-02-22 01:30:00,0
2020-02-22 02:00:00,0
2020-02-22 02:30:00,0
2020-02-22 03:00:00,0
2020-02-22 03:30:00,0
2020-02-22 04:00:00,0
2020-02-22 04:30:00,0
2020-02-22 05:00:00,0
2020-02-22 05:30:00,0
2020-02-22 06:00:00,0
2020-02-22 06:30:00,0
2020-02-22 07:00:00,0
2020-02-22 07:30:00,0
2020-02-22 08:00:00,0
2020-02-22 08:30:00,0
2020-02-22 09:00:00,1286
2020-02-22 09:30:00,1192
2020-02-22 10:00:00,1439
2020-02-22 10:30:00,1470
2020-02-22 11:00:00,1595
2020-02-22 11:30:00,1489
2020-02-22 12:00:00,1194
2020-02-22 12:30:00,1225
2020-02-22 13:00:00,1317
2020-02-22 13:30:00,1170
2020-02-22 14:00:00,1155
2020-02-22 14:30:00,1154
2020-02-22 15:00:00,1298
2020-02-22 15:30:00,1277
2020-02-22 16:00:00,1402
2020-02-22 16:30:00,1318
2020-02-22 17:00:00,1195
2020-02-22 17:30:00,1034
2020-02-22 18:00:00,975
2020-02-22 18:30:00,751
2020-02-22 19:00:00,670
2020-02-22 19:30:00,595
2020-02-22 20:00:00,495
2020-02-22 20:30:00,411
2020-02-22 21:00:00,304
2020-02-22 21:30:00,227
2020-02-22 22:00:00,132
2020-02-22 22:30:00,91
2020-02-22 23:00:00,38
2020-02-22 23:30:00,35
2020-02-23 00:00:00,0
2020-02-23 00:30:00,0
2020-02-23 01:00:00,0
2020-02-23 01:30:00,0
2020-02-23 02:00:00,0
2020-02-23 02:30:00,0
2020-02-23 03:00:00,0
2020-02-23 03:30:00,0
2020-02-23 04:00:00,0
2020-02-23 04:30:00,0
2020-02-23 05:00:00,0
2020-02-23 05:30:00,0
2020-02-23 06:00:00,0
2020-02-23 06:30:00,0
2020-02-23 07:00:00,0
2020-02-23 07:30:00,0
2020-02-23 08:00:00,0
2020-02-23 08:30:00,0
2020-02-23 09:00:00,1253
2020-02-23 09:30:00,1250
2020-02-23 10:00:00,1322
2020-02-23 10:30:00,1415
2020-02-23 11:00:00,1554
2020-02-23 11:30:00,1459
2020-02-23 12:00:00,1266
2020-02-23 12:30:00,1241
2020-02-23 13:00:00,1359
2020-02-23 13:30:00,1171
2020-02-23 14:00:00,1171
2020-02-23 14:30:00,1171
2020-02-23 15:00:00,1336
2020-02-23 15:30:00,1396
2020-02-23 16:00:00,1442
2020-02-23 16:30:00,1349
2020-02-23 17:00:00,1178
2020-02-23 17:30:00,1031
2020-02-23 18:00:00,747
2020-02-23 18:30:00,710
2020-02-23 19:00:00,585
2020-02-23 19:30:00,627
2020-02-23 20:00:00,498
2020-02-23 20:30:00,445
2020-02-23 21:00:00,302
2020-02-23 21:30:00,214
2020-02-23 22:00:00,140
2020-02-23 22:30:00,92
2020-02-23 23:00:00,54
2020-02-23 23:30:00,27
2020-02-24 00:00:00,0
2020-02-24 00:30:00,0
2020-02-24 01:00:00,0
2020-02-24 01:30:00,0
2020-02-24 02:00:00,0
2020-02-24 02:30:00,0
2020-02-24 03:00:00,0
2020-02-24 03:30:00,0
2020-02-24 04:00:00,0
2020-02-24 04:30:00,0
2020-02-24 05:00:00,0
2020-02-24 05:30:00,0
2020-02-24 06:00:00,0
2020-02-24 06:30:00,0
2020-02-24 07:00:00,0
2020-02-24 07:30:00,0
2020-02-24 08:00:00,0
2020-02-24 08:30:00,0
2020-02-24 09:00:00,1362
2020-02-24 09:30:00,1349
2020-02-24 10:00:00,1504
2020-02-24 10:30:00,1588
2020-02-24 11:00:00,1710
2020-02-24 11:30:00,1501
2020-02-24 12:00:00,1359
2020-02-24 12:30:00,1325
2020-02-24 13:00:00,1435
2020-02-24 13:30:00,1376
2020-02-24 14:00:00,1444
2020-02-24 14:30:00,1381
2020-02-24 15:00:00,1581
2020-02-24 15:30:00,1407
2020-02-24 16:00:00,1504
2020-02-24 16:30:00,1316
2020-02-24 17:00:00,1277
2020-02-24 17:30:00,1107
2020-02-24 18:00:00,1060
2020-02-24 18:30:00,913
2020-02-24 19:00:00,730
2020-02-24 19:30:00,713
2020-02-24 20:00:00,593
2020-02-24 20:30:00,517
2020-02-24 21:00:00,337
2020-02-24 21:30:00,247
2020-02-24 22:00:00,152
2020-02-24 22:30:00,91
2020-02-24 23:00:00,55
2020-02-24 23:30:00,39
2020-02-25 00:00:00,0
2020-02-25 00:30:00,0
2020-02-25 01:00:00,0
2020-02-25 01:30:00,0
2020-02-25 02:00:00,0
2020-02-25 02:30:00,0
2020-02-25 03:00:00,0
2020-02-25 03:30:00,0
2020-02-25 04:00:00,0
2020-02-25 04:30:00,0
2020-02-25 05:00:00,0
2020-02-25 05:30:00,0
2020-02-25 06:00:00,0
2020-02-25 06:30:00,0
2020-02-25 07:00:00,0
2020-02-25 07:30:00,0
2020-02-25 08:00:00,0
2020-02-25 08:30:00,0
2020-02-25 09:00:00,1465
2020-02-25 09:30:00,1490
2020-02-25 10:00:00,1621
2020-02-25 10:30:00,1685
2020-02-25 11:00:00,1665
2020-02-25 11:30:00,1663
2020-02-25 12:00:00,1454
2020-02-25 12:30:00,1548
2020-02-25 13:00:00,1700
2020-02-25 13:30:00,1366
2020-02-25 14:00:00,1408
2020-02-25 14:30:00,1373
2020-02-25 15:00:00,1445
2020-02-25 15:30:00,1509
2020-02-25 16:00:00,1491
2020-02-25 16:30:00,1681
2020-02-25 17:00:00,1339
2020-02-25 17:30:00,1179
2020-02-25 18:00:00,1010
2020-02-25 18:30:00,958
2020-02-25 19:00:00,756
2020-02-25 19:30:00,712
2020-02-25 20:00:00,593
2020-02-25 20:30:00,537
2020-02-25 21:00:00,332
2020-02-25 21:30:00,315
2020-02-25 22:00:00,188
2020-02-25 22:30:00,105
2020-02-25 23:00:00,86
2020-02-25 23:30:00,50
2020-02-26 00:00:00,0
2020-02-26 00:30:00,0
2020-02-26 01:00:00,0
2020-02-26 01:30:00,0
2020-02-26 02:00:00,0
2020-02-26 02:30:00,0
2020-02-26 03:00:00,0
2020-02-26 03:30:00,0
2020-02-26 04:00:00,0
2020-02-26 04:30:00,0
2020-02-26 05:00:00,0
2020-02-26 05:30:00,0
2020-02-26 06:00:00,0
2020-02-26 06:30:00,0
2020-02-26 07:00:00,0
2020-02-26 07:30:00,0
2020-02-26 08:00:00,0
2020-02-26 08:30:00,0
2020-02-26 09:00:00,1492
2020-02-26 09:30:00,1488
2020-02-26 10:00:00,1621
2020-02-26 10:30:00,1723
2020-02-26 11:00:00,1614
2020-02-26 11:30:00,1552
2020-02-26 12:00:00,1331
2020-02-26 12:30:00,1458
2020-02-26 13:00:00,1244
2020-02-26 13:30:00,1293
2020-02-26 14:00:00,1306
